,family.hmm,hmm.length,query.id,query.length,e.val,hmm.start,hmm.end,query.start,query.end,coverage,Species,Group,NewSeqName,Class
23,AA7,458,Phatr3_J23292.p1,572,3.3e-09,21,192,102,272,0.373362445414847,Phaeodactylum_tricornutum,Diatom,AA7_Phatr3_J23292.p1,Diatom
24,CBM13,188,Phatr3_EG01991.p1,442,0.00032,68,139,319,392,0.377659574468085,Phaeodactylum_tricornutum,Diatom,CBM13_Phatr3_EG01991.p1,Diatom
25,CBM13,188,Phatr3_EG01992.p1,315,0.00038,71,132,195,258,0.324468085106383,Phaeodactylum_tricornutum,Diatom,CBM13_Phatr3_EG01992.p1,Diatom
26,CBM13,188,Phatr3_EG02229.p1,2854,1.1e-18,5,134,370,504,0.686170212765957,Phaeodactylum_tricornutum,Diatom,CBM13_Phatr3_EG02229.p1,Diatom
27,CBM13,188,Phatr3_EG02229.p1,2854,3.4e-12,49,131,36,124,0.436170212765957,Phaeodactylum_tricornutum,Diatom,CBM13_Phatr3_EG02229.p1,Diatom
28,CBM13,188,Phatr3_J48054.p1,482,0.00028,68,145,359,439,0.409574468085106,Phaeodactylum_tricornutum,Diatom,CBM13_Phatr3_J48054.p1,Diatom
29,CBM13,188,Phatr3_J48282.p1,2089,2.2e-20,7,134,372,504,0.675531914893617,Phaeodactylum_tricornutum,Diatom,CBM13_Phatr3_J48282.p1,Diatom
30,CBM13,188,Phatr3_J48282.p1,2089,1.2e-12,49,133,36,126,0.446808510638298,Phaeodactylum_tricornutum,Diatom,CBM13_Phatr3_J48282.p1,Diatom
31,CBM13,188,Phatr3_J54558.p1,126,5.7e-07,70,134,10,74,0.340425531914894,Phaeodactylum_tricornutum,Diatom,CBM13_Phatr3_J54558.p1,Diatom
32,CBM14,54,Phatr3_J50155.p1,525,3.9e-09,13,54,478,520,0.759259259259259,Phaeodactylum_tricornutum,Diatom,CBM14_Phatr3_J50155.p1,Diatom
33,CBM18,38,Phatr3_J46067.p1,502,1.7e-08,2,33,312,345,0.815789473684211,Phaeodactylum_tricornutum,Diatom,CBM18_Phatr3_J46067.p1,Diatom
34,CBM18,38,Phatr3_J50155.p1,525,1.4e-07,6,35,33,63,0.763157894736842,Phaeodactylum_tricornutum,Diatom,CBM18_Phatr3_J50155.p1,Diatom
35,CBM22,131,Phatr3_EG00976.p1,472,2.5e-08,1,84,293,379,0.633587786259542,Phaeodactylum_tricornutum,Diatom,CBM22_Phatr3_EG00976.p1,Diatom
36,CBM22,131,Phatr3_J46378.p1,509,3.3e-05,2,77,335,413,0.572519083969466,Phaeodactylum_tricornutum,Diatom,CBM22_Phatr3_J46378.p1,Diatom
37,CBM22,131,Phatr3_J46559.p1,1009,4.3e-08,1,109,831,942,0.824427480916031,Phaeodactylum_tricornutum,Diatom,CBM22_Phatr3_J46559.p1,Diatom
38,CBM22,131,Phatr3_J46560.p1,1245,5.1e-08,1,92,825,937,0.694656488549618,Phaeodactylum_tricornutum,Diatom,CBM22_Phatr3_J46560.p1,Diatom
39,CBM22,131,Phatr3_J46563.p1,1245,5.4e-07,1,120,825,968,0.908396946564885,Phaeodactylum_tricornutum,Diatom,CBM22_Phatr3_J46563.p1,Diatom
40,CBM22,131,Phatr3_J48753.p1,1269,6.7e-08,2,79,1094,1174,0.587786259541985,Phaeodactylum_tricornutum,Diatom,CBM22_Phatr3_J48753.p1,Diatom
41,CBM22,131,Phatr3_J48753.p1,1269,2.1e-07,1,120,824,967,0.908396946564885,Phaeodactylum_tricornutum,Diatom,CBM22_Phatr3_J48753.p1,Diatom
42,CBM32,124,Phatr3_J14899.p1,303,3.7e-07,11,69,87,152,0.467741935483871,Phaeodactylum_tricornutum,Diatom,CBM32_Phatr3_J14899.p1,Diatom
43,CBM32,124,Phatr3_J31469.p1,155,7.1e-08,12,107,28,130,0.766129032258065,Phaeodactylum_tricornutum,Diatom,CBM32_Phatr3_J31469.p1,Diatom
44,CBM32,124,Phatr3_J31713.p1,170,0.00019,38,80,27,68,0.338709677419355,Phaeodactylum_tricornutum,Diatom,CBM32_Phatr3_J31713.p1,Diatom
45,CBM32,124,Phatr3_J45250.p1,834,8.9e-06,14,109,202,304,0.766129032258065,Phaeodactylum_tricornutum,Diatom,CBM32_Phatr3_J45250.p1,Diatom
46,CBM43,83,Phatr3_J1372.p1,758,8.9e-07,2,78,578,655,0.91566265060241,Phaeodactylum_tricornutum,Diatom,CBM43_Phatr3_J1372.p1,Diatom
47,CBM5,40,Phatr3_J47277.p1,593,0.00054,3,26,339,362,0.575,Phaeodactylum_tricornutum,Diatom,CBM5_Phatr3_J47277.p1,Diatom
48,CBM57,147,Phatr3_EG02229.p1,2854,5.5e-17,32,145,1479,1596,0.768707482993197,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_EG02229.p1,Diatom
49,CBM57,147,Phatr3_EG02229.p1,2854,7.2e-17,32,145,2172,2289,0.768707482993197,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_EG02229.p1,Diatom
50,CBM57,147,Phatr3_EG02229.p1,2854,9.2e-17,32,145,1710,1827,0.768707482993197,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_EG02229.p1,Diatom
51,CBM57,147,Phatr3_EG02229.p1,2854,1.1e-16,32,145,1941,2058,0.768707482993197,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_EG02229.p1,Diatom
52,CBM57,147,Phatr3_EG02229.p1,2854,1.3e-16,42,145,227,332,0.700680272108844,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_EG02229.p1,Diatom
53,CBM57,147,Phatr3_EG02229.p1,2854,1.3e-14,39,145,621,729,0.72108843537415,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_EG02229.p1,Diatom
54,CBM57,147,Phatr3_J48253.p1,1488,3.4e-32,4,147,560,708,0.972789115646258,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_J48253.p1,Diatom
55,CBM57,147,Phatr3_J48253.p1,1488,4.8e-30,2,147,1046,1193,0.986394557823129,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_J48253.p1,Diatom
56,CBM57,147,Phatr3_J48253.p1,1488,6.1e-30,4,147,790,936,0.972789115646258,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_J48253.p1,Diatom
57,CBM57,147,Phatr3_J48282.p1,2089,8.7e-17,32,145,1437,1554,0.768707482993197,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_J48282.p1,Diatom
58,CBM57,147,Phatr3_J48282.p1,2089,3.7e-16,32,145,217,332,0.768707482993197,Phaeodactylum_tricornutum,Diatom,CBM57_Phatr3_J48282.p1,Diatom
59,CBM9,182,Phatr3_J40647.p1,366,3.2e-21,1,164,29,231,0.895604395604396,Phaeodactylum_tricornutum,Diatom,CBM9_Phatr3_J40647.p1,Diatom
60,CE1,227,Phatr3_EG02172.p1,407,8.1e-42,1,223,30,291,0.977973568281938,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_EG02172.p1,Diatom
61,CE1,227,Phatr3_J10718.p1,408,5.9e-06,25,119,121,210,0.414096916299559,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J10718.p1,Diatom
62,CE1,227,Phatr3_J11048.p1,1273,5.5e-06,22,120,225,337,0.431718061674009,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J11048.p1,Diatom
63,CE1,227,Phatr3_J21912.p1,264,8.3e-06,26,140,11,119,0.502202643171806,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J21912.p1,Diatom
64,CE1,227,Phatr3_J33720.p1,260,1.1e-08,21,126,11,137,0.462555066079295,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J33720.p1,Diatom
65,CE1,227,Phatr3_J34489.p1,454,1.5e-07,13,143,182,318,0.572687224669604,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J34489.p1,Diatom
66,CE1,227,Phatr3_J35564.p1,292,8.4e-10,10,131,63,193,0.533039647577093,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J35564.p1,Diatom
67,CE1,227,Phatr3_J37595.p1,186,3.6e-06,90,214,54,177,0.54625550660793,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J37595.p1,Diatom
68,CE1,227,Phatr3_J42917.p1,446,7e-11,22,143,153,361,0.533039647577093,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J42917.p1,Diatom
69,CE1,227,Phatr3_J48328.p1,447,4.6e-35,8,220,183,441,0.933920704845815,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J48328.p1,Diatom
70,CE1,227,Phatr3_J52268.p1,283,1.2e-06,14,143,15,187,0.568281938325991,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J52268.p1,Diatom
71,CE1,227,Phatr3_J54974.p1,426,8.9e-09,29,143,93,223,0.502202643171806,Phaeodactylum_tricornutum,Diatom,CE1_Phatr3_J54974.p1,Diatom
72,CE10,341,Phatr3_EG00764.p1,374,2.3e-19,93,314,120,335,0.648093841642229,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_EG00764.p1,Diatom
73,CE10,341,Phatr3_J10362.p1,391,3.5e-12,86,218,91,242,0.387096774193548,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_J10362.p1,Diatom
74,CE10,341,Phatr3_J13777.p1,818,4.1e-26,87,316,575,801,0.671554252199413,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_J13777.p1,Diatom
75,CE10,341,Phatr3_J24120.p1,1069,1.3e-12,65,308,778,1011,0.712609970674487,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_J24120.p1,Diatom
76,CE10,341,Phatr3_J28215.p1,380,3.1e-11,20,206,95,285,0.545454545454545,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_J28215.p1,Diatom
77,CE10,341,Phatr3_J43118.p1,750,1.6e-37,74,334,446,741,0.762463343108504,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_J43118.p1,Diatom
78,CE10,341,Phatr3_J44208.p1,980,9.3e-42,70,193,139,282,0.360703812316716,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_J44208.p1,Diatom
79,CE10,341,Phatr3_J45964.p1,448,1.2e-18,74,332,166,428,0.756598240469208,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_J45964.p1,Diatom
80,CE10,341,Phatr3_J47524.p1,460,2e-23,93,309,168,435,0.633431085043988,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_J47524.p1,Diatom
81,CE10,341,Phatr3_draftJ453.p1,470,1.5e-20,71,301,194,424,0.674486803519062,Phaeodactylum_tricornutum,Diatom,CE10_Phatr3_draftJ453.p1,Diatom
82,CE12,210,Phatr3_J38196.p1,253,1.3e-14,1,159,6,174,0.752380952380952,Phaeodactylum_tricornutum,Diatom,CE12_Phatr3_J38196.p1,Diatom
83,CE14,124,Phatr3_J34610.p1,267,2.9e-10,2,123,11,128,0.975806451612903,Phaeodactylum_tricornutum,Diatom,CE14_Phatr3_J34610.p1,Diatom
84,CE3,194,Phatr3_EG00849.p1,342,7.1e-07,52,149,127,245,0.5,Phaeodactylum_tricornutum,Diatom,CE3_Phatr3_EG00849.p1,Diatom
85,CE3,194,Phatr3_EG02330.p1,537,1.5e-07,53,177,363,494,0.639175257731959,Phaeodactylum_tricornutum,Diatom,CE3_Phatr3_EG02330.p1,Diatom
86,CE3,194,Phatr3_J35562.p1,326,6.4e-08,2,187,126,309,0.95360824742268,Phaeodactylum_tricornutum,Diatom,CE3_Phatr3_J35562.p1,Diatom
87,CE3,194,Phatr3_J40919.p1,422,3.5e-10,49,184,262,405,0.695876288659794,Phaeodactylum_tricornutum,Diatom,CE3_Phatr3_J40919.p1,Diatom
88,CE3,194,Phatr3_J44063.p1,348,4.7e-10,55,184,188,328,0.664948453608247,Phaeodactylum_tricornutum,Diatom,CE3_Phatr3_J44063.p1,Diatom
89,CE4,130,Phatr3_J40052.p1,352,5.3e-12,23,126,98,201,0.792307692307692,Phaeodactylum_tricornutum,Diatom,CE4_Phatr3_J40052.p1,Diatom
90,CE6,99,Phatr3_J34640.p1,425,6.9e-06,1,98,143,254,0.97979797979798,Phaeodactylum_tricornutum,Diatom,CE6_Phatr3_J34640.p1,Diatom
91,CE6,99,Phatr3_J46375.p1,403,4.2e-08,24,98,199,280,0.747474747474748,Phaeodactylum_tricornutum,Diatom,CE6_Phatr3_J46375.p1,Diatom
92,CE7,313,Phatr3_J14054.p1,597,5.1e-07,51,297,180,412,0.78594249201278,Phaeodactylum_tricornutum,Diatom,CE7_Phatr3_J14054.p1,Diatom
93,CE7,313,Phatr3_J37756.p1,463,1.2e-06,107,201,132,227,0.300319488817891,Phaeodactylum_tricornutum,Diatom,CE7_Phatr3_J37756.p1,Diatom
94,CE7,313,Phatr3_J50641.p1,463,1.2e-06,107,201,132,227,0.300319488817891,Phaeodactylum_tricornutum,Diatom,CE7_Phatr3_J50641.p1,Diatom
95,GH1,429,Phatr3_EG02210.p1,2599,7e-170,4,427,1767,2215,0.986013986013986,Phaeodactylum_tricornutum,Diatom,GH1_Phatr3_EG02210.p1,Diatom
96,GH10,303,Phatr3_J44391.p1,486,7.3e-79,22,303,101,407,0.927392739273927,Phaeodactylum_tricornutum,Diatom,GH10_Phatr3_J44391.p1,Diatom
97,GH109,126,Phatr3_J25422.p1,404,5.6e-09,2,118,24,131,0.920634920634921,Phaeodactylum_tricornutum,Diatom,GH109_Phatr3_J25422.p1,Diatom
98,GH109,126,Phatr3_J33631.p1,400,7e-06,3,114,22,141,0.880952380952381,Phaeodactylum_tricornutum,Diatom,GH109_Phatr3_J33631.p1,Diatom
99,GH109,126,Phatr3_J35638.p1,410,2e-07,3,122,21,154,0.944444444444444,Phaeodactylum_tricornutum,Diatom,GH109_Phatr3_J35638.p1,Diatom
100,GH109,126,Phatr3_J3639.p1,460,4.6e-14,1,124,53,167,0.976190476190476,Phaeodactylum_tricornutum,Diatom,GH109_Phatr3_J3639.p1,Diatom
101,GH109,126,Phatr3_J46694.p1,427,3.5e-05,73,117,112,156,0.349206349206349,Phaeodactylum_tricornutum,Diatom,GH109_Phatr3_J46694.p1,Diatom
102,GH125,402,Phatr3_J39269.p1,554,6.8e-95,28,398,120,497,0.920398009950249,Phaeodactylum_tricornutum,Diatom,GH125_Phatr3_J39269.p1,Diatom
103,GH125,402,Phatr3_J48341.p1,566,6.2e-119,6,402,119,533,0.985074626865672,Phaeodactylum_tricornutum,Diatom,GH125_Phatr3_J48341.p1,Diatom
104,GH128,224,Phatr3_EG00719.p1,444,5.7e-52,9,224,205,428,0.959821428571429,Phaeodactylum_tricornutum,Diatom,GH128_Phatr3_EG00719.p1,Diatom
105,GH16,189,Phatr3_EG00559.p1,680,2e-07,13,173,412,621,0.846560846560847,Phaeodactylum_tricornutum,Diatom,GH16_Phatr3_EG00559.p1,Diatom
106,GH16,189,Phatr3_EG02526.p1,1028,2.1e-48,2,189,28,265,0.989417989417989,Phaeodactylum_tricornutum,Diatom,GH16_Phatr3_EG02526.p1,Diatom
107,GH16,189,Phatr3_J38794.p1,541,3.4e-18,26,176,203,509,0.793650793650794,Phaeodactylum_tricornutum,Diatom,GH16_Phatr3_J38794.p1,Diatom
108,GH16,189,Phatr3_J46513.p1,460,1.6e-06,5,159,181,372,0.814814814814815,Phaeodactylum_tricornutum,Diatom,GH16_Phatr3_J46513.p1,Diatom
109,GH16,189,Phatr3_J48300.p1,701,1.3e-17,4,189,54,473,0.978835978835979,Phaeodactylum_tricornutum,Diatom,GH16_Phatr3_J48300.p1,Diatom
110,GH16,189,Phatr3_J50177.p1,766,4.7e-22,4,189,206,594,0.978835978835979,Phaeodactylum_tricornutum,Diatom,GH16_Phatr3_J50177.p1,Diatom
111,GH16,189,Phatr3_J50238.p1,627,1.3e-26,4,189,60,434,0.978835978835979,Phaeodactylum_tricornutum,Diatom,GH16_Phatr3_J50238.p1,Diatom
112,GH16,189,Phatr3_J54973.p1,485,1.6e-40,3,187,27,298,0.973544973544973,Phaeodactylum_tricornutum,Diatom,GH16_Phatr3_J54973.p1,Diatom
113,GH18,296,Phatr3_J44884.p1,344,1e-39,5,283,35,316,0.939189189189189,Phaeodactylum_tricornutum,Diatom,GH18_Phatr3_J44884.p1,Diatom
114,GH18,296,Phatr3_J50155.p1,525,2.2e-20,4,205,96,346,0.679054054054054,Phaeodactylum_tricornutum,Diatom,GH18_Phatr3_J50155.p1,Diatom
115,GH2,752,Phatr3_EG01004.p1,989,5.5e-60,57,472,78,767,0.55186170212766,Phaeodactylum_tricornutum,Diatom,GH2_Phatr3_EG01004.p1,Diatom
116,GH2,752,Phatr3_EG02430.p1,615,3.2e-62,21,294,242,601,0.363031914893617,Phaeodactylum_tricornutum,Diatom,GH2_Phatr3_EG02430.p1,Diatom
117,GH2,752,Phatr3_EG02432.p1,658,1e-66,376,749,4,516,0.496010638297872,Phaeodactylum_tricornutum,Diatom,GH2_Phatr3_EG02432.p1,Diatom
118,GH20,337,Phatr3_J45073.p1,1085,4.8e-41,14,293,249,541,0.827893175074184,Phaeodactylum_tricornutum,Diatom,GH20_Phatr3_J45073.p1,Diatom
119,GH20,337,Phatr3_J45073.p1,1085,3.5e-17,11,211,670,862,0.593471810089021,Phaeodactylum_tricornutum,Diatom,GH20_Phatr3_J45073.p1,Diatom
120,GH20,337,Phatr3_J49563.p1,973,4e-68,8,336,611,912,0.973293768545994,Phaeodactylum_tricornutum,Diatom,GH20_Phatr3_J49563.p1,Diatom
121,GH26,303,Phatr3_J48536.p1,486,1.8e-16,129,282,164,352,0.504950495049505,Phaeodactylum_tricornutum,Diatom,GH26_Phatr3_J48536.p1,Diatom
122,GH28,325,Phatr3_J16052.p1,862,9.3e-57,60,306,122,392,0.756923076923077,Phaeodactylum_tricornutum,Diatom,GH28_Phatr3_J16052.p1,Diatom
123,GH28,325,Phatr3_J46492.p1,563,6.5e-52,9,306,56,415,0.913846153846154,Phaeodactylum_tricornutum,Diatom,GH28_Phatr3_J46492.p1,Diatom
124,GH28,325,Phatr3_J46668.p1,451,2e-81,58,323,98,405,0.815384615384615,Phaeodactylum_tricornutum,Diatom,GH28_Phatr3_J46668.p1,Diatom
125,GH29,346,Phatr3_J29821.p1,473,2.8e-91,29,345,25,367,0.913294797687861,Phaeodactylum_tricornutum,Diatom,GH29_Phatr3_J29821.p1,Diatom
126,GH29,346,Phatr3_J39282.p1,520,1.5e-88,27,346,59,410,0.921965317919075,Phaeodactylum_tricornutum,Diatom,GH29_Phatr3_J39282.p1,Diatom
127,GH29,346,Phatr3_J48865.p1,500,9.1e-91,14,346,24,383,0.959537572254335,Phaeodactylum_tricornutum,Diatom,GH29_Phatr3_J48865.p1,Diatom
128,GH3,216,Phatr3_J12313.p1,795,1.2e-51,3,215,114,363,0.981481481481482,Phaeodactylum_tricornutum,Diatom,GH3_Phatr3_J12313.p1,Diatom
129,GH3,216,Phatr3_J26742.p1,953,1e-51,10,215,109,333,0.949074074074074,Phaeodactylum_tricornutum,Diatom,GH3_Phatr3_J26742.p1,Diatom
130,GH3,216,Phatr3_J545.p1,874,1.8e-65,5,216,78,294,0.976851851851852,Phaeodactylum_tricornutum,Diatom,GH3_Phatr3_J545.p1,Diatom
131,GH30,417,Phatr3_J54536.p1,859,1.6e-72,24,324,169,532,0.719424460431655,Phaeodactylum_tricornutum,Diatom,GH30_Phatr3_J54536.p1,Diatom
132,GH31,427,Phatr3_EG02351.p1,1065,6.1e-146,2,427,473,925,0.995316159250585,Phaeodactylum_tricornutum,Diatom,GH31_Phatr3_EG02351.p1,Diatom
133,GH32,293,Phatr3_J43831.p1,450,1.5e-09,22,152,280,424,0.443686006825939,Phaeodactylum_tricornutum,Diatom,GH32_Phatr3_J43831.p1,Diatom
134,GH35,307,Phatr3_EG02313.p1,1503,9.2e-53,3,304,711,1079,0.980456026058632,Phaeodactylum_tricornutum,Diatom,GH35_Phatr3_EG02313.p1,Diatom
135,GH36,688,Phatr3_J50372.p1,1138,2.4e-46,287,529,514,748,0.351744186046512,Phaeodactylum_tricornutum,Diatom,GH36_Phatr3_J50372.p1,Diatom
136,GH38,269,Phatr3_J52108.p1,1125,4.2e-64,2,269,89,446,0.992565055762082,Phaeodactylum_tricornutum,Diatom,GH38_Phatr3_J52108.p1,Diatom
137,GH38,269,Phatr3_J52248.p1,1453,2.5e-69,1,269,234,554,0.996282527881041,Phaeodactylum_tricornutum,Diatom,GH38_Phatr3_J52248.p1,Diatom
138,GH47,446,Phatr3_EG02374.p1,666,2.1e-144,2,446,200,655,0.995515695067265,Phaeodactylum_tricornutum,Diatom,GH47_Phatr3_EG02374.p1,Diatom
139,GH47,446,Phatr3_J52346.p1,1343,9.8e-103,1,445,211,746,0.995515695067265,Phaeodactylum_tricornutum,Diatom,GH47_Phatr3_J52346.p1,Diatom
140,GH5,275,Phatr3_J1372.p1,758,2.5e-31,27,219,145,423,0.698181818181818,Phaeodactylum_tricornutum,Diatom,GH5_Phatr3_J1372.p1,Diatom
141,GH5,275,Phatr3_J34543.p1,447,1.8e-16,14,235,54,358,0.803636363636364,Phaeodactylum_tricornutum,Diatom,GH5_Phatr3_J34543.p1,Diatom
142,GH5,275,Phatr3_J45418.p1,627,1.9e-22,28,273,144,492,0.890909090909091,Phaeodactylum_tricornutum,Diatom,GH5_Phatr3_J45418.p1,Diatom
143,GH5,275,Phatr3_J49610.p1,620,3.9e-25,30,273,145,466,0.883636363636364,Phaeodactylum_tricornutum,Diatom,GH5_Phatr3_J49610.p1,Diatom
144,GH5,275,Phatr3_J54569.p1,558,1.6e-23,19,273,102,432,0.923636363636364,Phaeodactylum_tricornutum,Diatom,GH5_Phatr3_J54569.p1,Diatom
145,GH72,312,Phatr3_J44873.p1,537,5.3e-73,5,283,30,332,0.891025641025641,Phaeodactylum_tricornutum,Diatom,GH72_Phatr3_J44873.p1,Diatom
146,GH81,622,Phatr3_EG01219.p1,1040,1.5e-78,337,622,664,974,0.458199356913183,Phaeodactylum_tricornutum,Diatom,GH81_Phatr3_EG01219.p1,Diatom
147,GH81,622,Phatr3_EG01219.p1,1040,1.3e-24,19,209,195,450,0.305466237942122,Phaeodactylum_tricornutum,Diatom,GH81_Phatr3_EG01219.p1,Diatom
148,GH81,622,Phatr3_J42567.p1,1208,8.5e-80,331,622,630,965,0.467845659163987,Phaeodactylum_tricornutum,Diatom,GH81_Phatr3_J42567.p1,Diatom
149,GH99,334,Phatr3_J47966.p1,391,1.3e-43,1,327,29,378,0.976047904191617,Phaeodactylum_tricornutum,Diatom,GH99_Phatr3_J47966.p1,Diatom
150,GT1,382,Phatr3_J1174.p1,887,3e-46,81,371,136,457,0.759162303664921,Phaeodactylum_tricornutum,Diatom,GT1_Phatr3_J1174.p1,Diatom
151,GT10,347,Phatr3_J46109.p1,798,8.4e-31,132,330,367,572,0.570605187319885,Phaeodactylum_tricornutum,Diatom,GT10_Phatr3_J46109.p1,Diatom
152,GT10,347,Phatr3_J46110.p1,633,4.4e-52,103,333,183,409,0.662824207492795,Phaeodactylum_tricornutum,Diatom,GT10_Phatr3_J46110.p1,Diatom
153,GT10,347,Phatr3_J54599.p1,481,4.2e-76,21,347,70,460,0.939481268011527,Phaeodactylum_tricornutum,Diatom,GT10_Phatr3_J54599.p1,Diatom
154,GT11,276,Phatr3_J35856.p1,376,4.7e-08,121,257,213,345,0.492753623188406,Phaeodactylum_tricornutum,Diatom,GT11_Phatr3_J35856.p1,Diatom
155,GT11,276,Phatr3_J41478.p1,339,9.6e-11,136,257,185,307,0.438405797101449,Phaeodactylum_tricornutum,Diatom,GT11_Phatr3_J41478.p1,Diatom
