,family.hmm,hmm.length,query.id,query.length,e.val,hmm.start,hmm.end,query.start,query.end,coverage,Species
106,GH16,189,AT5G57530.1.1,285,4.4e-23,39,186,49,207,0.777777777777778,Arabidopsis_thaliana
107,GH16,189,AT5G57540.1.1,284,1.9e-22,39,186,48,206,0.777777777777778,Arabidopsis_thaliana
108,GH16,189,AT5G57550.1.1,284,1.6e-24,35,185,47,209,0.793650793650794,Arabidopsis_thaliana
109,GH16,189,AT5G57560.1.1,284,4.4e-24,35,185,40,202,0.793650793650794,Arabidopsis_thaliana
110,GH16,189,AT5G65730.1.1,292,1.1e-23,35,187,52,217,0.804232804232804,Arabidopsis_thaliana
111,GH16,189,EAL67358,274,7.4e-51,3,189,53,271,0.984126984126984,Dictyostelium_discoideum
112,GH16,189,EED89298,239,5.2e-21,52,189,2,238,0.724867724867725,Thalassiosira_pseudonana
113,GH16,189,EED93119,372,3.1e-22,4,189,21,339,0.978835978835979,Thalassiosira_pseudonana
114,GH16,189,EED94092,648,1.6e-24,4,189,92,438,0.978835978835979,Thalassiosira_pseudonana
115,GH16,189,EED95068,495,2.9e-18,50,176,168,446,0.666666666666667,Thalassiosira_pseudonana
116,GH16,189,EGZ06772,624,7.3e-10,125,189,412,527,0.338624338624339,Phytophthora_sojae
117,GH16,189,EGZ06772,624,8.1e-06,4,115,28,243,0.587301587301587,Phytophthora_sojae
118,GH16,189,EGZ08594,618,2.2e-14,12,189,61,450,0.936507936507937,Phytophthora_sojae
119,GH16,189,EGZ12556,598,1.3e-17,4,189,63,475,0.978835978835979,Phytophthora_sojae
120,GH16,189,EGZ25699,421,4.7e-07,68,144,295,389,0.402116402116402,Phytophthora_sojae
121,GH16,189,EGZ28172,2639,2.8e-25,3,189,72,411,0.984126984126984,Phytophthora_sojae
122,GH16,189,EGZ29201,770,1.9e-10,61,189,371,588,0.677248677248677,Phytophthora_sojae
123,GH16,189,EGZ29201,770,8.5e-06,4,99,85,252,0.502645502645503,Phytophthora_sojae
124,GH16,189,EGZ29202,652,2.5e-09,122,189,354,461,0.354497354497354,Phytophthora_sojae
125,GH16,189,EGZ29202,652,4.4e-08,4,98,3,150,0.497354497354497,Phytophthora_sojae
126,GH16,189,EGZ29213,729,3.5e-09,122,189,440,571,0.354497354497354,Phytophthora_sojae
127,GH16,189,EGZ29213,729,5.7e-06,4,97,69,235,0.492063492063492,Phytophthora_sojae
128,GH16,189,EGZ29214,719,8.3e-09,122,189,428,551,0.354497354497354,Phytophthora_sojae
129,GH16,189,EGZ29214,719,4e-06,4,92,48,207,0.465608465608466,Phytophthora_sojae
130,GH16,189,EGZ29219,761,1.2e-10,56,189,346,569,0.703703703703704,Phytophthora_sojae
131,GH16,189,EGZ29219,761,3.4e-07,4,91,68,225,0.46031746031746,Phytophthora_sojae
132,GH16,189,EGZ29220,737,1.9e-07,4,91,45,202,0.46031746031746,Phytophthora_sojae
133,GH16,189,EGZ29220,737,3e-07,77,189,370,549,0.592592592592593,Phytophthora_sojae
134,GH16,189,EGZ29221,640,2.3e-09,122,189,303,436,0.354497354497354,Phytophthora_sojae
135,GH16,189,EGZ29223,692,3.7e-12,109,189,380,515,0.423280423280423,Phytophthora_sojae
136,GH16,189,EGZ29223,692,1.2e-07,4,115,59,274,0.587301587301587,Phytophthora_sojae
137,GH16,189,EGZ29224,676,1.2e-10,110,189,368,541,0.417989417989418,Phytophthora_sojae
138,GH16,189,EGZ29224,676,3.4e-08,3,116,65,262,0.597883597883598,Phytophthora_sojae
139,GH16,189,EGZ29225,726,1.6e-11,122,189,398,556,0.354497354497354,Phytophthora_sojae
140,GH16,189,EOD06751,3181,1.7e-45,4,187,1510,1742,0.968253968253968,Emiliania_huxleyi
141,GH16,189,EOD11391,567,3.7e-30,3,189,238,564,0.984126984126984,Emiliania_huxleyi
142,GH16,189,EOD13075,577,2.3e-29,3,189,238,574,0.984126984126984,Emiliania_huxleyi
143,GH16,189,EOD14925,258,3.1e-20,80,188,55,255,0.571428571428571,Emiliania_huxleyi
144,GH16,189,EOD15563,132,5.4e-11,2,77,32,131,0.396825396825397,Emiliania_huxleyi
145,GH16,189,EOD17583,954,4.3e-13,50,185,272,484,0.714285714285714,Emiliania_huxleyi
146,GH16,189,EOD17724,939,4e-45,8,187,66,289,0.947089947089947,Emiliania_huxleyi
147,GH16,189,EOD19882,502,5.4e-45,2,189,216,450,0.989417989417989,Emiliania_huxleyi
148,GH16,189,EOD20124,446,2.5e-13,4,176,65,357,0.91005291005291,Emiliania_huxleyi
149,GH16,189,EOD22179,523,2.8e-11,4,97,43,180,0.492063492063492,Emiliania_huxleyi
150,GH16,189,EOD22179,523,2.8e-11,122,189,309,423,0.354497354497354,Emiliania_huxleyi
151,GH16,189,EOD23233,668,1.7e-23,32,189,247,523,0.830687830687831,Emiliania_huxleyi
152,GH16,189,EOD30593,420,1.2e-24,4,176,5,181,0.91005291005291,Emiliania_huxleyi
153,GH16,189,EOD31106,656,1.7e-44,2,189,370,604,0.989417989417989,Emiliania_huxleyi
154,GH16,189,EOD32483,252,7.2e-26,73,189,1,250,0.613756613756614,Emiliania_huxleyi
155,GH16,189,EOD34564,446,2.5e-13,4,176,65,357,0.91005291005291,Emiliania_huxleyi
156,GH16,189,EOD35004,412,1.9e-20,24,189,16,284,0.873015873015873,Emiliania_huxleyi
157,GH16,189,EOD36027,167,1.1e-08,84,189,2,163,0.555555555555556,Emiliania_huxleyi
158,GH16,189,EOD36189,646,2.2e-20,3,189,37,417,0.984126984126984,Emiliania_huxleyi
159,GH16,189,EOD37575,813,3.7e-45,8,187,66,289,0.947089947089947,Emiliania_huxleyi
160,GH16,189,EOD38348,167,1.1e-08,84,189,2,163,0.555555555555556,Emiliania_huxleyi
161,GH16,189,EOD38732,647,3.5e-20,3,189,37,418,0.984126984126984,Emiliania_huxleyi
162,GH16,189,ETI29729,346,2e-08,125,189,43,158,0.338624338624339,Phytophthora_parasitica
163,GH16,189,ETI41908,477,5.8e-13,122,189,177,310,0.354497354497354,Phytophthora_parasitica
164,GH16,189,ETI44304,788,1e-07,122,189,466,599,0.354497354497354,Phytophthora_parasitica
165,GH16,189,ETI44304,788,7.1e-07,4,91,97,254,0.46031746031746,Phytophthora_parasitica
166,GH16,189,ETI44483,758,2.6e-10,61,189,356,573,0.677248677248677,Phytophthora_parasitica
167,GH16,189,ETI44483,758,8.2e-07,4,91,69,226,0.46031746031746,Phytophthora_parasitica
168,GH16,189,ETI44484,751,3e-10,122,189,436,565,0.354497354497354,Phytophthora_parasitica
169,GH16,189,ETI44484,751,1.1e-06,4,97,62,227,0.492063492063492,Phytophthora_parasitica
170,GH16,189,ETI44485,731,3.5e-09,122,189,421,563,0.354497354497354,Phytophthora_parasitica
171,GH16,189,ETI44485,731,1.1e-06,4,91,59,216,0.46031746031746,Phytophthora_parasitica
172,GH16,189,ETI44498,752,2.3e-07,4,100,64,233,0.507936507936508,Phytophthora_parasitica
173,GH16,189,ETI44498,752,7.6e-07,122,189,441,567,0.354497354497354,Phytophthora_parasitica
174,GH16,189,ETI44499,776,2.6e-09,122,189,437,568,0.354497354497354,Phytophthora_parasitica
175,GH16,189,ETI44500,720,8.2e-09,122,189,408,551,0.354497354497354,Phytophthora_parasitica
176,GH16,189,ETI44500,720,2e-06,4,92,48,207,0.465608465608466,Phytophthora_parasitica
177,GH16,189,ETI44502,863,1.8e-07,122,189,544,667,0.354497354497354,Phytophthora_parasitica
178,GH16,189,ETI44502,863,5.1e-06,3,92,163,323,0.470899470899471,Phytophthora_parasitica
179,GH16,189,ETI44504,749,1.2e-07,122,189,434,570,0.354497354497354,Phytophthora_parasitica
180,GH16,189,ETI44504,749,8.1e-07,3,98,67,235,0.502645502645503,Phytophthora_parasitica
181,GH16,189,ETI44512,762,7.6e-09,122,189,447,570,0.354497354497354,Phytophthora_parasitica
182,GH16,189,ETI44512,762,7.7e-09,12,144,84,300,0.698412698412698,Phytophthora_parasitica
183,GH16,189,ETI44521,816,2.4e-11,122,189,487,645,0.354497354497354,Phytophthora_parasitica
184,GH16,189,ETI44522,743,2.2e-11,122,189,401,556,0.354497354497354,Phytophthora_parasitica
185,GH16,189,ETI44522,743,3.9e-08,4,116,61,277,0.592592592592593,Phytophthora_parasitica
186,GH16,189,ETI48864,335,4.1e-12,24,189,16,302,0.873015873015873,Phytophthora_parasitica
187,GH16,189,ETI50874,780,2.3e-09,129,189,472,581,0.317460317460317,Phytophthora_parasitica
188,GH16,189,ETI50874,780,2.3e-08,4,97,78,244,0.492063492063492,Phytophthora_parasitica
189,GH16,189,ETI52334,728,3.3e-11,122,189,406,557,0.354497354497354,Phytophthora_parasitica
190,GH16,189,ETI52334,728,3.1e-07,3,115,63,278,0.592592592592593,Phytophthora_parasitica
191,GH16,189,ETI53612,705,1.6e-09,125,189,412,527,0.338624338624339,Phytophthora_parasitica
192,GH16,189,ETI53612,705,8.9e-07,4,114,28,242,0.582010582010582,Phytophthora_parasitica
193,GH16,189,ETI57486,723,2.9e-09,124,189,442,558,0.343915343915344,Phytophthora_parasitica
194,GH16,189,ETI57486,723,5.5e-07,4,91,62,217,0.46031746031746,Phytophthora_parasitica
195,GH16,189,HpaP806090,2643,1.1e-24,3,189,79,418,0.984126984126984,Hyaloperonospora_arabidopsis
196,GH16,189,HpaP806350,486,1.3e-08,124,189,197,313,0.343915343915344,Hyaloperonospora_arabidopsis
197,GH16,189,HpaP807935,755,1.4e-08,122,189,441,572,0.354497354497354,Hyaloperonospora_arabidopsis
198,GH16,189,HpaP807935,755,2.1e-06,10,91,81,225,0.428571428571429,Hyaloperonospora_arabidopsis
199,GH16,189,HpaP807936,739,1.7e-09,122,189,430,555,0.354497354497354,Hyaloperonospora_arabidopsis
200,GH16,189,HpaP807936,739,1.7e-06,4,99,53,220,0.502645502645503,Hyaloperonospora_arabidopsis
201,GH16,189,HpaP807937,705,1.3e-09,122,189,415,544,0.354497354497354,Hyaloperonospora_arabidopsis
202,GH16,189,HpaP807937,705,7e-07,4,91,40,197,0.46031746031746,Hyaloperonospora_arabidopsis
203,GH16,189,HpaP807939,768,2e-08,104,189,416,571,0.44973544973545,Hyaloperonospora_arabidopsis
204,GH16,189,HpaP807939,768,2.1e-07,4,100,70,239,0.507936507936508,Hyaloperonospora_arabidopsis
205,GH16,189,HpaP807942,702,4.2e-10,122,189,394,517,0.354497354497354,Hyaloperonospora_arabidopsis
206,GH16,189,HpaP807950,692,1.5e-09,76,189,325,506,0.597883597883598,Hyaloperonospora_arabidopsis
207,GH16,189,HpaP807950,692,3.6e-07,4,90,3,168,0.455026455026455,Hyaloperonospora_arabidopsis
208,GH16,189,HpaP809175,384,9.7e-09,123,189,106,223,0.349206349206349,Hyaloperonospora_arabidopsis
209,GH16,189,KUF75631,734,2e-09,129,189,464,573,0.317460317460317,Phytophthora_nicotianae
210,GH16,189,KUF75631,734,1.3e-06,4,97,78,236,0.492063492063492,Phytophthora_nicotianae
211,GH16,189,KUF78068,759,9.9e-08,122,189,437,570,0.354497354497354,Phytophthora_nicotianae
212,GH16,189,KUF78068,759,6.5e-07,4,91,68,225,0.46031746031746,Phytophthora_nicotianae
213,GH16,189,KUF78987,743,2.7e-11,122,189,405,556,0.354497354497354,Phytophthora_nicotianae
214,GH16,189,KUF78987,743,1.2e-06,4,116,61,277,0.592592592592593,Phytophthora_nicotianae
215,GH16,189,KUF79135,704,1.4e-12,122,189,404,537,0.354497354497354,Phytophthora_nicotianae
216,GH16,189,KUF79136,725,2e-11,129,189,447,557,0.317460317460317,Phytophthora_nicotianae
217,GH16,189,KUF79954,747,1.6e-09,124,189,453,569,0.343915343915344,Phytophthora_nicotianae
218,GH16,189,KUF79954,747,9.4e-07,4,115,70,285,0.587301587301587,Phytophthora_nicotianae
219,GH16,189,KUF81010,747,1.6e-09,124,189,453,569,0.343915343915344,Phytophthora_nicotianae
220,GH16,189,KUF81010,747,9.4e-07,4,115,70,285,0.587301587301587,Phytophthora_nicotianae
221,GH16,189,KUF83753,726,2.2e-11,122,189,397,555,0.354497354497354,Phytophthora_nicotianae
222,GH16,189,KUF84623,776,2.6e-09,122,189,437,568,0.354497354497354,Phytophthora_nicotianae
223,GH16,189,KUF84624,720,8.2e-09,122,189,408,551,0.354497354497354,Phytophthora_nicotianae
224,GH16,189,KUF84624,720,2e-06,4,92,48,207,0.465608465608466,Phytophthora_nicotianae
225,GH16,189,KUF84625,725,7.5e-09,122,189,410,533,0.354497354497354,Phytophthora_nicotianae
226,GH16,189,KUF84625,725,9.4e-08,12,116,84,291,0.55026455026455,Phytophthora_nicotianae
227,GH16,189,KUF84626,751,3e-10,122,189,436,565,0.354497354497354,Phytophthora_nicotianae
228,GH16,189,KUF84626,751,1.1e-06,4,97,62,227,0.492063492063492,Phytophthora_nicotianae
229,GH16,189,KUF84627,731,3e-09,122,189,417,563,0.354497354497354,Phytophthora_nicotianae
230,GH16,189,KUF84627,731,9.7e-07,4,91,59,216,0.46031746031746,Phytophthora_nicotianae
231,GH16,189,KUF84630,863,1.8e-07,122,189,544,667,0.354497354497354,Phytophthora_nicotianae
232,GH16,189,KUF84630,863,5.1e-06,3,92,163,323,0.470899470899471,Phytophthora_nicotianae
233,GH16,189,KUF84631,749,1.2e-07,122,189,434,570,0.354497354497354,Phytophthora_nicotianae
234,GH16,189,KUF84631,749,8.1e-07,3,98,67,235,0.502645502645503,Phytophthora_nicotianae
235,GH16,189,KUF84633,758,2.6e-10,61,189,356,573,0.677248677248677,Phytophthora_nicotianae
236,GH16,189,KUF84633,758,1.2e-06,4,91,69,226,0.46031746031746,Phytophthora_nicotianae
237,GH16,189,KUF84637,752,2.3e-07,4,100,64,233,0.507936507936508,Phytophthora_nicotianae
238,GH16,189,KUF84637,752,7.6e-07,122,189,441,567,0.354497354497354,Phytophthora_nicotianae
239,GH16,189,KUF88141,723,2.9e-09,124,189,442,558,0.343915343915344,Phytophthora_nicotianae
240,GH16,189,KUF88141,723,5.5e-07,4,91,62,217,0.46031746031746,Phytophthora_nicotianae
241,GH16,189,KUF97851,667,2.7e-11,122,189,345,496,0.354497354497354,Phytophthora_nicotianae
242,GH16,189,KUF97851,667,2.6e-07,4,115,3,217,0.587301587301587,Phytophthora_nicotianae
243,GH16,189,PITG_01092T0,536,6.7e-08,4,97,79,245,0.492063492063492,Phytophthora_infestans
244,GH16,189,PITG_06976T0,413,2e-06,61,144,278,381,0.439153439153439,Phytophthora_infestans
245,GH16,189,PITG_10657T0,587,9.4e-12,122,189,275,412,0.354497354497354,Phytophthora_infestans
246,GH16,189,PITG_10738T0,412,1.6e-06,3,100,56,226,0.513227513227513,Phytophthora_infestans
247,GH16,189,PITG_10743T0,1719,4.7e-07,122,189,367,507,0.354497354497354,Phytophthora_infestans
248,GH16,189,PITG_10743T0,1719,1.3e-06,4,91,3,160,0.46031746031746,Phytophthora_infestans
249,GH16,189,PITG_10751T0,244,6.9e-07,4,91,63,220,0.46031746031746,Phytophthora_infestans
250,GH16,189,PITG_10755T0,203,5.1e-07,10,100,16,172,0.476190476190476,Phytophthora_infestans
251,GH16,189,PITG_10756T0,557,1.9e-07,122,189,383,506,0.354497354497354,Phytophthora_infestans
