,cazyFam,sequence,species,group,newSeqName,class,NewNames
39,GT4,ACI64913,Thalassiosira_pseudonana,Diatom,GT4_ACI64913,Diatom,GT4_ACI64913_Thalassiosira_pseudonana
40,GT77,ACI64936,Thalassiosira_pseudonana,Diatom,GT77_ACI64936,Diatom,GT77_ACI64936_Thalassiosira_pseudonana
41,CE1,ACI64954,Thalassiosira_pseudonana,Diatom,CE1_ACI64954,Diatom,CE1_ACI64954_Thalassiosira_pseudonana
42,GH18,ACI65060,Thalassiosira_pseudonana,Diatom,GH18_ACI65060,Diatom,GH18_ACI65060_Thalassiosira_pseudonana
43,GT2,ACI65062,Thalassiosira_pseudonana,Diatom,GT2_ACI65062,Diatom,GT2_ACI65062_Thalassiosira_pseudonana
44,GH79,EED86121,Thalassiosira_pseudonana,Diatom,GH79_EED86121,Diatom,GH79_EED86121_Thalassiosira_pseudonana
45,GT14,EED86201,Thalassiosira_pseudonana,Diatom,GT14_EED86201,Diatom,GT14_EED86201_Thalassiosira_pseudonana
46,GT14,EED86202,Thalassiosira_pseudonana,Diatom,GT14_EED86202,Diatom,GT14_EED86202_Thalassiosira_pseudonana
47,CBM14,EED86205,Thalassiosira_pseudonana,Diatom,CBM14_EED86205,Diatom,CBM14_EED86205_Thalassiosira_pseudonana
48,GH18,EED86206,Thalassiosira_pseudonana,Diatom,GH18_EED86206,Diatom,GH18_EED86206_Thalassiosira_pseudonana
49,CBM73,EED86209,Thalassiosira_pseudonana,Diatom,CBM73_EED86209,Diatom,CBM73_EED86209_Thalassiosira_pseudonana
50,CBM73,EED86209,Thalassiosira_pseudonana,Diatom,CBM73_EED86209,Diatom,CBM73_EED86209_Thalassiosira_pseudonana
51,CBM73,EED86209,Thalassiosira_pseudonana,Diatom,CBM73_EED86209,Diatom,CBM73_EED86209_Thalassiosira_pseudonana
52,CBM73,EED86209,Thalassiosira_pseudonana,Diatom,CBM73_EED86209,Diatom,CBM73_EED86209_Thalassiosira_pseudonana
53,CBM73,EED86229,Thalassiosira_pseudonana,Diatom,CBM73_EED86229,Diatom,CBM73_EED86229_Thalassiosira_pseudonana
54,CBM73,EED86229,Thalassiosira_pseudonana,Diatom,CBM73_EED86229,Diatom,CBM73_EED86229_Thalassiosira_pseudonana
55,CBM73,EED86229,Thalassiosira_pseudonana,Diatom,CBM73_EED86229,Diatom,CBM73_EED86229_Thalassiosira_pseudonana
56,CBM73,EED86229,Thalassiosira_pseudonana,Diatom,CBM73_EED86229,Diatom,CBM73_EED86229_Thalassiosira_pseudonana
57,CBM73,EED86229,Thalassiosira_pseudonana,Diatom,CBM73_EED86229,Diatom,CBM73_EED86229_Thalassiosira_pseudonana
58,GT90,EED86304,Thalassiosira_pseudonana,Diatom,GT90_EED86304,Diatom,GT90_EED86304_Thalassiosira_pseudonana
59,GT8,EED86309,Thalassiosira_pseudonana,Diatom,GT8_EED86309,Diatom,GT8_EED86309_Thalassiosira_pseudonana
60,CE1,EED86346,Thalassiosira_pseudonana,Diatom,CE1_EED86346,Diatom,CE1_EED86346_Thalassiosira_pseudonana
61,AA7,EED86354,Thalassiosira_pseudonana,Diatom,AA7_EED86354,Diatom,AA7_EED86354_Thalassiosira_pseudonana
62,GH109,EED86389,Thalassiosira_pseudonana,Diatom,GH109_EED86389,Diatom,GH109_EED86389_Thalassiosira_pseudonana
63,CBM73,EED86415,Thalassiosira_pseudonana,Diatom,CBM73_EED86415,Diatom,CBM73_EED86415_Thalassiosira_pseudonana
64,CBM73,EED86415,Thalassiosira_pseudonana,Diatom,CBM73_EED86415,Diatom,CBM73_EED86415_Thalassiosira_pseudonana
65,CBM73,EED86415,Thalassiosira_pseudonana,Diatom,CBM73_EED86415,Diatom,CBM73_EED86415_Thalassiosira_pseudonana
66,CBM73,EED86415,Thalassiosira_pseudonana,Diatom,CBM73_EED86415,Diatom,CBM73_EED86415_Thalassiosira_pseudonana
67,GH19,EED86415,Thalassiosira_pseudonana,Diatom,GH19_EED86415,Diatom,GH19_EED86415_Thalassiosira_pseudonana
68,GT22,EED86416,Thalassiosira_pseudonana,Diatom,GT22_EED86416,Diatom,GT22_EED86416_Thalassiosira_pseudonana
69,CBM14,EED86438,Thalassiosira_pseudonana,Diatom,CBM14_EED86438,Diatom,CBM14_EED86438_Thalassiosira_pseudonana
70,CBM73,EED86438,Thalassiosira_pseudonana,Diatom,CBM73_EED86438,Diatom,CBM73_EED86438_Thalassiosira_pseudonana
71,CBM73,EED86438,Thalassiosira_pseudonana,Diatom,CBM73_EED86438,Diatom,CBM73_EED86438_Thalassiosira_pseudonana
72,GT34,EED86469,Thalassiosira_pseudonana,Diatom,GT34_EED86469,Diatom,GT34_EED86469_Thalassiosira_pseudonana
73,GT90,EED86470,Thalassiosira_pseudonana,Diatom,GT90_EED86470,Diatom,GT90_EED86470_Thalassiosira_pseudonana
74,GT90,EED86471,Thalassiosira_pseudonana,Diatom,GT90_EED86471,Diatom,GT90_EED86471_Thalassiosira_pseudonana
75,GT4,EED86477,Thalassiosira_pseudonana,Diatom,GT4_EED86477,Diatom,GT4_EED86477_Thalassiosira_pseudonana
76,CBM32,EED86485,Thalassiosira_pseudonana,Diatom,CBM32_EED86485,Diatom,CBM32_EED86485_Thalassiosira_pseudonana
77,GH130,EED86494,Thalassiosira_pseudonana,Diatom,GH130_EED86494,Diatom,GH130_EED86494_Thalassiosira_pseudonana
78,GH78,EED86494,Thalassiosira_pseudonana,Diatom,GH78_EED86494,Diatom,GH78_EED86494_Thalassiosira_pseudonana
79,GT34,EED86529,Thalassiosira_pseudonana,Diatom,GT34_EED86529,Diatom,GT34_EED86529_Thalassiosira_pseudonana
80,CBM30,EED86531,Thalassiosira_pseudonana,Diatom,CBM30_EED86531,Diatom,CBM30_EED86531_Thalassiosira_pseudonana
81,GH9,EED86531,Thalassiosira_pseudonana,Diatom,GH9_EED86531,Diatom,GH9_EED86531_Thalassiosira_pseudonana
82,GT32,EED86548,Thalassiosira_pseudonana,Diatom,GT32_EED86548,Diatom,GT32_EED86548_Thalassiosira_pseudonana
83,GT32,EED86548,Thalassiosira_pseudonana,Diatom,GT32_EED86548,Diatom,GT32_EED86548_Thalassiosira_pseudonana
84,GT32,EED86595,Thalassiosira_pseudonana,Diatom,GT32_EED86595,Diatom,GT32_EED86595_Thalassiosira_pseudonana
85,GT22,EED86613,Thalassiosira_pseudonana,Diatom,GT22_EED86613,Diatom,GT22_EED86613_Thalassiosira_pseudonana
86,AA2,EED86626,Thalassiosira_pseudonana,Diatom,AA2_EED86626,Diatom,AA2_EED86626_Thalassiosira_pseudonana
87,GH99,EED86632,Thalassiosira_pseudonana,Diatom,GH99_EED86632,Diatom,GH99_EED86632_Thalassiosira_pseudonana
88,GH99,EED86637,Thalassiosira_pseudonana,Diatom,GH99_EED86637,Diatom,GH99_EED86637_Thalassiosira_pseudonana
89,GT32,EED86682,Thalassiosira_pseudonana,Diatom,GT32_EED86682,Diatom,GT32_EED86682_Thalassiosira_pseudonana
90,CBM12,EED86684,Thalassiosira_pseudonana,Diatom,CBM12_EED86684,Diatom,CBM12_EED86684_Thalassiosira_pseudonana
91,CBM73,EED86684,Thalassiosira_pseudonana,Diatom,CBM73_EED86684,Diatom,CBM73_EED86684_Thalassiosira_pseudonana
92,GH18,EED86702,Thalassiosira_pseudonana,Diatom,GH18_EED86702,Diatom,GH18_EED86702_Thalassiosira_pseudonana
93,GH18,EED86703,Thalassiosira_pseudonana,Diatom,GH18_EED86703,Diatom,GH18_EED86703_Thalassiosira_pseudonana
94,AA2,EED86723,Thalassiosira_pseudonana,Diatom,AA2_EED86723,Diatom,AA2_EED86723_Thalassiosira_pseudonana
95,GT2,EED86726,Thalassiosira_pseudonana,Diatom,GT2_EED86726,Diatom,GT2_EED86726_Thalassiosira_pseudonana
96,GH99,EED86728,Thalassiosira_pseudonana,Diatom,GH99_EED86728,Diatom,GH99_EED86728_Thalassiosira_pseudonana
97,GH19,EED86738,Thalassiosira_pseudonana,Diatom,GH19_EED86738,Diatom,GH19_EED86738_Thalassiosira_pseudonana
98,GH19,EED86739,Thalassiosira_pseudonana,Diatom,GH19_EED86739,Diatom,GH19_EED86739_Thalassiosira_pseudonana
99,GH19,EED86749,Thalassiosira_pseudonana,Diatom,GH19_EED86749,Diatom,GH19_EED86749_Thalassiosira_pseudonana
100,CE10,EED86778,Thalassiosira_pseudonana,Diatom,CE10_EED86778,Diatom,CE10_EED86778_Thalassiosira_pseudonana
101,GT90,EED86798,Thalassiosira_pseudonana,Diatom,GT90_EED86798,Diatom,GT90_EED86798_Thalassiosira_pseudonana
102,GT32,EED86825,Thalassiosira_pseudonana,Diatom,GT32_EED86825,Diatom,GT32_EED86825_Thalassiosira_pseudonana
103,GT32,EED86847,Thalassiosira_pseudonana,Diatom,GT32_EED86847,Diatom,GT32_EED86847_Thalassiosira_pseudonana
104,GT32,EED86850,Thalassiosira_pseudonana,Diatom,GT32_EED86850,Diatom,GT32_EED86850_Thalassiosira_pseudonana
105,GT8,EED86864,Thalassiosira_pseudonana,Diatom,GT8_EED86864,Diatom,GT8_EED86864_Thalassiosira_pseudonana
106,GH18,EED86898,Thalassiosira_pseudonana,Diatom,GH18_EED86898,Diatom,GH18_EED86898_Thalassiosira_pseudonana
107,GT47,EED86905,Thalassiosira_pseudonana,Diatom,GT47_EED86905,Diatom,GT47_EED86905_Thalassiosira_pseudonana
108,GH109,EED86911,Thalassiosira_pseudonana,Diatom,GH109_EED86911,Diatom,GH109_EED86911_Thalassiosira_pseudonana
109,GT31,EED86948,Thalassiosira_pseudonana,Diatom,GT31_EED86948,Diatom,GT31_EED86948_Thalassiosira_pseudonana
110,CBM46,EED86983,Thalassiosira_pseudonana,Diatom,CBM46_EED86983,Diatom,CBM46_EED86983_Thalassiosira_pseudonana
111,GT32,EED86990,Thalassiosira_pseudonana,Diatom,GT32_EED86990,Diatom,GT32_EED86990_Thalassiosira_pseudonana
112,GT17,EED87029,Thalassiosira_pseudonana,Diatom,GT17_EED87029,Diatom,GT17_EED87029_Thalassiosira_pseudonana
113,GT32,EED87108,Thalassiosira_pseudonana,Diatom,GT32_EED87108,Diatom,GT32_EED87108_Thalassiosira_pseudonana
114,CE10,EED87135,Thalassiosira_pseudonana,Diatom,CE10_EED87135,Diatom,CE10_EED87135_Thalassiosira_pseudonana
115,GT32,EED87208,Thalassiosira_pseudonana,Diatom,GT32_EED87208,Diatom,GT32_EED87208_Thalassiosira_pseudonana
116,GH109,EED87238,Thalassiosira_pseudonana,Diatom,GH109_EED87238,Diatom,GH109_EED87238_Thalassiosira_pseudonana
117,GH18,EED87251,Thalassiosira_pseudonana,Diatom,GH18_EED87251,Diatom,GH18_EED87251_Thalassiosira_pseudonana
118,GH109,EED87397,Thalassiosira_pseudonana,Diatom,GH109_EED87397,Diatom,GH109_EED87397_Thalassiosira_pseudonana
119,GT92,EED87399,Thalassiosira_pseudonana,Diatom,GT92_EED87399,Diatom,GT92_EED87399_Thalassiosira_pseudonana
120,CE10,EED87413,Thalassiosira_pseudonana,Diatom,CE10_EED87413,Diatom,CE10_EED87413_Thalassiosira_pseudonana
121,AA2,EED87450,Thalassiosira_pseudonana,Diatom,AA2_EED87450,Diatom,AA2_EED87450_Thalassiosira_pseudonana
122,GH18,EED87462,Thalassiosira_pseudonana,Diatom,GH18_EED87462,Diatom,GH18_EED87462_Thalassiosira_pseudonana
123,CBM14,EED87463,Thalassiosira_pseudonana,Diatom,CBM14_EED87463,Diatom,CBM14_EED87463_Thalassiosira_pseudonana
124,CBM14,EED87463,Thalassiosira_pseudonana,Diatom,CBM14_EED87463,Diatom,CBM14_EED87463_Thalassiosira_pseudonana
125,GT4,EED87466,Thalassiosira_pseudonana,Diatom,GT4_EED87466,Diatom,GT4_EED87466_Thalassiosira_pseudonana
126,GH30,EED87519,Thalassiosira_pseudonana,Diatom,GH30_EED87519,Diatom,GH30_EED87519_Thalassiosira_pseudonana
127,GT90,EED87529,Thalassiosira_pseudonana,Diatom,GT90_EED87529,Diatom,GT90_EED87529_Thalassiosira_pseudonana
128,GT90,EED87529,Thalassiosira_pseudonana,Diatom,GT90_EED87529,Diatom,GT90_EED87529_Thalassiosira_pseudonana
129,CBM14,EED87533,Thalassiosira_pseudonana,Diatom,CBM14_EED87533,Diatom,CBM14_EED87533_Thalassiosira_pseudonana
130,CBM14,EED87533,Thalassiosira_pseudonana,Diatom,CBM14_EED87533,Diatom,CBM14_EED87533_Thalassiosira_pseudonana
131,AA2,EED87598,Thalassiosira_pseudonana,Diatom,AA2_EED87598,Diatom,AA2_EED87598_Thalassiosira_pseudonana
132,CBM38,EED87619,Thalassiosira_pseudonana,Diatom,CBM38_EED87619,Diatom,CBM38_EED87619_Thalassiosira_pseudonana
133,CE10,EED87663,Thalassiosira_pseudonana,Diatom,CE10_EED87663,Diatom,CE10_EED87663_Thalassiosira_pseudonana
134,CBM47,EED87699,Thalassiosira_pseudonana,Diatom,CBM47_EED87699,Diatom,CBM47_EED87699_Thalassiosira_pseudonana
135,CBM47,EED87699,Thalassiosira_pseudonana,Diatom,CBM47_EED87699,Diatom,CBM47_EED87699_Thalassiosira_pseudonana
136,GT64,EED87737,Thalassiosira_pseudonana,Diatom,GT64_EED87737,Diatom,GT64_EED87737_Thalassiosira_pseudonana
137,GT8,EED87771,Thalassiosira_pseudonana,Diatom,GT8_EED87771,Diatom,GT8_EED87771_Thalassiosira_pseudonana
138,CBM73,EED87827,Thalassiosira_pseudonana,Diatom,CBM73_EED87827,Diatom,CBM73_EED87827_Thalassiosira_pseudonana
139,GH74,EED87828,Thalassiosira_pseudonana,Diatom,GH74_EED87828,Diatom,GH74_EED87828_Thalassiosira_pseudonana
140,GT32,EED87847,Thalassiosira_pseudonana,Diatom,GT32_EED87847,Diatom,GT32_EED87847_Thalassiosira_pseudonana
141,GT25,EED87873,Thalassiosira_pseudonana,Diatom,GT25_EED87873,Diatom,GT25_EED87873_Thalassiosira_pseudonana
142,GT96,EED87890,Thalassiosira_pseudonana,Diatom,GT96_EED87890,Diatom,GT96_EED87890_Thalassiosira_pseudonana
143,CBM14,EED87892,Thalassiosira_pseudonana,Diatom,CBM14_EED87892,Diatom,CBM14_EED87892_Thalassiosira_pseudonana
144,CBM14,EED87892,Thalassiosira_pseudonana,Diatom,CBM14_EED87892,Diatom,CBM14_EED87892_Thalassiosira_pseudonana
145,GH18,EED87892,Thalassiosira_pseudonana,Diatom,GH18_EED87892,Diatom,GH18_EED87892_Thalassiosira_pseudonana
146,GT31,EED87906,Thalassiosira_pseudonana,Diatom,GT31_EED87906,Diatom,GT31_EED87906_Thalassiosira_pseudonana
147,GH19,EED87921,Thalassiosira_pseudonana,Diatom,GH19_EED87921,Diatom,GH19_EED87921_Thalassiosira_pseudonana
148,CE1,EED87955,Thalassiosira_pseudonana,Diatom,CE1_EED87955,Diatom,CE1_EED87955_Thalassiosira_pseudonana
149,AA2,EED88002,Thalassiosira_pseudonana,Diatom,AA2_EED88002,Diatom,AA2_EED88002_Thalassiosira_pseudonana
150,AA2,EED88002,Thalassiosira_pseudonana,Diatom,AA2_EED88002,Diatom,AA2_EED88002_Thalassiosira_pseudonana
151,GH19,EED88058,Thalassiosira_pseudonana,Diatom,GH19_EED88058,Diatom,GH19_EED88058_Thalassiosira_pseudonana
152,AA4,EED88102,Thalassiosira_pseudonana,Diatom,AA4_EED88102,Diatom,AA4_EED88102_Thalassiosira_pseudonana
153,CE13,EED88128,Thalassiosira_pseudonana,Diatom,CE13_EED88128,Diatom,CE13_EED88128_Thalassiosira_pseudonana
154,GT50,EED88173,Thalassiosira_pseudonana,Diatom,GT50_EED88173,Diatom,GT50_EED88173_Thalassiosira_pseudonana
155,GT47,EED88305,Thalassiosira_pseudonana,Diatom,GT47_EED88305,Diatom,GT47_EED88305_Thalassiosira_pseudonana
156,GT90,EED88439,Thalassiosira_pseudonana,Diatom,GT90_EED88439,Diatom,GT90_EED88439_Thalassiosira_pseudonana
157,GT90,EED88440,Thalassiosira_pseudonana,Diatom,GT90_EED88440,Diatom,GT90_EED88440_Thalassiosira_pseudonana
158,GT90,EED88452,Thalassiosira_pseudonana,Diatom,GT90_EED88452,Diatom,GT90_EED88452_Thalassiosira_pseudonana
159,GT4,EED88553,Thalassiosira_pseudonana,Diatom,GT4_EED88553,Diatom,GT4_EED88553_Thalassiosira_pseudonana
160,GT90,EED88582,Thalassiosira_pseudonana,Diatom,GT90_EED88582,Diatom,GT90_EED88582_Thalassiosira_pseudonana
161,GT28,EED88597,Thalassiosira_pseudonana,Diatom,GT28_EED88597,Diatom,GT28_EED88597_Thalassiosira_pseudonana
162,GT1,EED88628,Thalassiosira_pseudonana,Diatom,GT1_EED88628,Diatom,GT1_EED88628_Thalassiosira_pseudonana
163,GH19,EED88641,Thalassiosira_pseudonana,Diatom,GH19_EED88641,Diatom,GH19_EED88641_Thalassiosira_pseudonana
164,GT48,EED88672,Thalassiosira_pseudonana,Diatom,GT48_EED88672,Diatom,GT48_EED88672_Thalassiosira_pseudonana
165,GH109,EED88727,Thalassiosira_pseudonana,Diatom,GH109_EED88727,Diatom,GH109_EED88727_Thalassiosira_pseudonana
166,GT90,EED88780,Thalassiosira_pseudonana,Diatom,GT90_EED88780,Diatom,GT90_EED88780_Thalassiosira_pseudonana
167,GT31,EED88781,Thalassiosira_pseudonana,Diatom,GT31_EED88781,Diatom,GT31_EED88781_Thalassiosira_pseudonana
168,GT8,EED88875,Thalassiosira_pseudonana,Diatom,GT8_EED88875,Diatom,GT8_EED88875_Thalassiosira_pseudonana
169,GT14,EED88925,Thalassiosira_pseudonana,Diatom,GT14_EED88925,Diatom,GT14_EED88925_Thalassiosira_pseudonana
170,CE10,EED88993,Thalassiosira_pseudonana,Diatom,CE10_EED88993,Diatom,CE10_EED88993_Thalassiosira_pseudonana
171,GT41,EED89012,Thalassiosira_pseudonana,Diatom,GT41_EED89012,Diatom,GT41_EED89012_Thalassiosira_pseudonana
172,GT90,EED89013,Thalassiosira_pseudonana,Diatom,GT90_EED89013,Diatom,GT90_EED89013_Thalassiosira_pseudonana
173,CE10,EED89025,Thalassiosira_pseudonana,Diatom,CE10_EED89025,Diatom,CE10_EED89025_Thalassiosira_pseudonana
174,GT32,EED89072,Thalassiosira_pseudonana,Diatom,GT32_EED89072,Diatom,GT32_EED89072_Thalassiosira_pseudonana
175,GT31,EED89080,Thalassiosira_pseudonana,Diatom,GT31_EED89080,Diatom,GT31_EED89080_Thalassiosira_pseudonana
176,GT90,EED89120,Thalassiosira_pseudonana,Diatom,GT90_EED89120,Diatom,GT90_EED89120_Thalassiosira_pseudonana
177,CE9,EED89122,Thalassiosira_pseudonana,Diatom,CE9_EED89122,Diatom,CE9_EED89122_Thalassiosira_pseudonana
178,GT92,EED89148,Thalassiosira_pseudonana,Diatom,GT92_EED89148,Diatom,GT92_EED89148_Thalassiosira_pseudonana
179,GH43,EED89179,Thalassiosira_pseudonana,Diatom,GH43_EED89179,Diatom,GH43_EED89179_Thalassiosira_pseudonana
180,CE10,EED89214,Thalassiosira_pseudonana,Diatom,CE10_EED89214,Diatom,CE10_EED89214_Thalassiosira_pseudonana
181,CBM73,EED89253,Thalassiosira_pseudonana,Diatom,CBM73_EED89253,Diatom,CBM73_EED89253_Thalassiosira_pseudonana
182,AA2,EED89294,Thalassiosira_pseudonana,Diatom,AA2_EED89294,Diatom,AA2_EED89294_Thalassiosira_pseudonana
183,GH16,EED89298,Thalassiosira_pseudonana,Diatom,GH16_EED89298,Diatom,GH16_EED89298_Thalassiosira_pseudonana
184,GT28,EED89312,Thalassiosira_pseudonana,Diatom,GT28_EED89312,Diatom,GT28_EED89312_Thalassiosira_pseudonana
185,GH72,EED89321,Thalassiosira_pseudonana,Diatom,GH72_EED89321,Diatom,GH72_EED89321_Thalassiosira_pseudonana
186,GH31,EED89344,Thalassiosira_pseudonana,Diatom,GH31_EED89344,Diatom,GH31_EED89344_Thalassiosira_pseudonana
187,CE1,EED89431,Thalassiosira_pseudonana,Diatom,CE1_EED89431,Diatom,CE1_EED89431_Thalassiosira_pseudonana
188,CBM12,EED89580,Thalassiosira_pseudonana,Diatom,CBM12_EED89580,Diatom,CBM12_EED89580_Thalassiosira_pseudonana
189,CBM35,EED89589,Thalassiosira_pseudonana,Diatom,CBM35_EED89589,Diatom,CBM35_EED89589_Thalassiosira_pseudonana
190,CBM35,EED89589,Thalassiosira_pseudonana,Diatom,CBM35_EED89589,Diatom,CBM35_EED89589_Thalassiosira_pseudonana
191,CBM35,EED89589,Thalassiosira_pseudonana,Diatom,CBM35_EED89589,Diatom,CBM35_EED89589_Thalassiosira_pseudonana
192,GH18,EED89593,Thalassiosira_pseudonana,Diatom,GH18_EED89593,Diatom,GH18_EED89593_Thalassiosira_pseudonana
193,GT90,EED89604,Thalassiosira_pseudonana,Diatom,GT90_EED89604,Diatom,GT90_EED89604_Thalassiosira_pseudonana
194,CBM14,EED89681,Thalassiosira_pseudonana,Diatom,CBM14_EED89681,Diatom,CBM14_EED89681_Thalassiosira_pseudonana
195,CBM14,EED89685,Thalassiosira_pseudonana,Diatom,CBM14_EED89685,Diatom,CBM14_EED89685_Thalassiosira_pseudonana
196,GT90,EED89745,Thalassiosira_pseudonana,Diatom,GT90_EED89745,Diatom,GT90_EED89745_Thalassiosira_pseudonana
197,AA2,EED89747,Thalassiosira_pseudonana,Diatom,AA2_EED89747,Diatom,AA2_EED89747_Thalassiosira_pseudonana
198,GH18,EED89774,Thalassiosira_pseudonana,Diatom,GH18_EED89774,Diatom,GH18_EED89774_Thalassiosira_pseudonana
199,GH109,EED89795,Thalassiosira_pseudonana,Diatom,GH109_EED89795,Diatom,GH109_EED89795_Thalassiosira_pseudonana
200,GH32,EED89797,Thalassiosira_pseudonana,Diatom,GH32_EED89797,Diatom,GH32_EED89797_Thalassiosira_pseudonana
201,CE4,EED89806,Thalassiosira_pseudonana,Diatom,CE4_EED89806,Diatom,CE4_EED89806_Thalassiosira_pseudonana
202,GT60,EED89884,Thalassiosira_pseudonana,Diatom,GT60_EED89884,Diatom,GT60_EED89884_Thalassiosira_pseudonana
203,GH125,EED89992,Thalassiosira_pseudonana,Diatom,GH125_EED89992,Diatom,GH125_EED89992_Thalassiosira_pseudonana
